,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage,Seed
442,10,4,smart,561,391,69.6969696969697,601.1508951406649,126.49616368286445,381.6038826259633,221.3562918727126,58.00682381674807,460669441.0
443,10,6,basic,546,359,65.75091575091575,764.7353760445683,118.983286908078,380.1372819373448,195.13993930908114,51.33407023761606,272813683.0
444,15,6,basic,553,415,75.04520795660035,495.8963855421687,128.45301204819276,570.619728381895,258.9051452159042,45.37262424313315,70952804.0
445,15,4,basic,605,443,73.22314049586777,376.5237020316027,123.30699774266365,570.8577864116803,273.83751141614744,47.969479953570534,116942809.0
446,15,8,basic,579,445,76.8566493955095,466.5595505617978,123.65168539325843,569.9981387003584,259.8052833147648,45.58002310448623,315111282.0
447,15,8,basic,557,416,74.68581687612208,481.5264423076923,118.17788461538461,569.1165981882749,233.9697538146422,41.11104026125073,533011683.0
448,10,6,smart,559,367,65.65295169946333,690.3269754768393,123.02452316076294,381.12120834950747,207.2697374354483,54.38420452460663,358368805.0
449,5,4,basic,557,287,51.526032315978455,1136.8606271777003,121.77003484320558,191.32666615479505,141.30926890562492,73.85759222464947,597572982.0
450,5,8,basic,580,272,46.89655172413793,1043.7316176470588,119.82720588235294,190.81890892193093,130.07540765450366,68.16693816634334,260244418.0
451,10,4,basic,547,354,64.71663619744058,660.3107344632768,124.89265536723164,381.33340283319865,205.21353819754262,53.81472922981948,268048516.0
452,15,6,basic,560,394,70.35714285714286,467.0736040609137,121.16751269035532,569.5136770787801,233.88183114699095,41.066938435376386,720265055.0
453,10,8,smart,527,374,70.96774193548387,615.8315508021391,116.93315508021391,381.2708759899862,209.7127611336784,55.00361405500753,572435721.0
454,20,8,smart,592,476,80.4054054054054,556.3487394957983,127.48109243697479,758.0274245059547,281.38997623925405,37.121345104717065,272813683.0
455,15,6,smart,556,426,76.61870503597122,485.28403755868544,125.45539906103286,570.1376914378336,257.443288775135,45.154581540800656,738646825.0
456,5,6,smart,532,269,50.56390977443609,882.4163568773234,124.94423791821562,191.28617465742084,137.2603707829607,71.75655586650929,48265950.0
457,5,6,basic,540,262,48.51851851851852,945.3854961832061,124.05343511450381,191.23205936042092,135.44473484732873,70.82742051742062,655359215.0
458,20,8,basic,560,432,77.14285714285715,395.025462962963,128.10416666666666,757.8430435675333,265.8899930217972,35.08510044113152,948896778.0
459,5,8,basic,549,278,50.63752276867031,943.9028776978417,113.73741007194245,191.04097492181754,135.64235883113187,71.00170991413897,549004394.0
460,15,8,basic,519,387,74.56647398843931,467.25064599483204,128.36692506459949,569.2193284163859,234.0254324575152,41.113402299354945,110158532.0
461,10,4,basic,569,349,61.335676625659055,558.6189111747851,119.59025787965616,380.8334438661017,198.6009695623523,52.149035952887324,884281372.0
462,15,8,smart,588,454,77.21088435374149,534.3700440528635,122.39427312775331,570.6297735602484,259.6837398409602,45.5082703134736,590926899.0
463,5,6,basic,530,265,50.0,944.4150943396227,129.37735849056602,191.2991994550997,136.98431886429466,71.60736649943304,173249261.0
464,15,8,basic,561,432,77.00534759358288,487.91898148148147,119.25,570.0665053664517,244.40607105599585,42.87325579651204,930593199.0
465,20,8,basic,574,463,80.66202090592334,441.08855291576674,123.61555075593952,758.5780659821294,284.1321930026975,37.45589356513125,979009661.0
466,10,8,basic,538,368,68.40148698884758,577.9728260869565,116.94021739130434,380.9545747930061,204.08636079300615,53.57236119395539,597572982.0
467,15,8,basic,541,421,77.81885397412199,446.3562945368171,120.15676959619952,569.4664827576121,245.32432059812666,43.079676860024534,671082961.0
468,20,6,smart,522,442,84.67432950191571,396.6968325791855,131.0814479638009,758.7963629397719,288.4758083209206,38.01755285216329,530467456.0
469,20,8,basic,577,465,80.58925476603119,301.1956989247312,120.56989247311827,758.1221155986723,278.7350140487707,36.766506122652785,481403749.0
470,5,6,smart,547,284,51.91956124314442,946.080985915493,127.74295774647888,191.56788874605718,143.67845634790618,75.00132579023547,350929302.0
471,20,4,basic,573,454,79.23211169284468,438.9383259911894,130.87665198237886,758.7993057853206,288.86827390461093,38.06912733079616,720265055.0
472,15,6,basic,563,412,73.17939609236235,497.2839805825243,120.75970873786407,569.3205385374785,238.7333529937299,41.93303013571397,884281372.0
473,10,6,smart,544,358,65.80882352941177,663.5055865921788,118.99720670391062,381.3524653930066,207.0853831925559,54.302883024275715,755568905.0
474,10,6,basic,564,368,65.24822695035462,650.4429347826087,115.83152173913044,380.4436015748477,196.94607462060503,51.76748243506949,770142391.0
475,15,6,smart,587,443,75.46848381601363,468.9119638826185,122.3273137697517,570.2018683919835,257.98606555458014,45.24468961880505,655359215.0
476,5,6,smart,587,282,48.040885860306645,837.4858156028369,129.2695035460993,191.2356924193819,142.08803616982377,74.29995644234822,470148314.0
477,10,8,basic,603,381,63.18407960199005,662.6272965879265,116.71391076115485,381.4140365081462,210.89013417511023,55.291655258892405,48265950.0
478,15,4,smart,548,416,75.91240875912408,485.6442307692308,133.76682692307693,570.2268993150154,262.22808134579054,45.986620704984595,187959148.0
479,15,4,basic,593,455,76.72849915682967,562.9934065934066,129.05274725274725,570.6334994383043,272.3859992801131,47.73396576756056,530467456.0
480,20,4,basic,566,434,76.67844522968198,387.71889400921657,132.64285714285714,758.844769701433,291.2280011456357,38.37780963558847,8501172.0
481,20,8,basic,527,422,80.07590132827325,493.8009478672986,128.44549763033174,757.5514271604147,261.35629681738385,34.500139191479676,110158532.0
482,10,8,basic,549,380,69.2167577413479,584.3973684210526,115.76842105263158,380.41024654369244,203.3487090181102,53.45510823267332,158944640.0
483,20,6,smart,559,459,82.11091234347049,362.6884531590414,129.62091503267973,759.0667431375648,278.78267658673747,36.72703080553932,350929302.0
484,5,8,basic,563,274,48.66785079928952,941.8467153284671,118.81021897810218,190.95094752056644,134.748180580113,70.56690858556746,783435377.0
485,10,6,basic,568,346,60.91549295774647,511.3612716763006,119.11849710982659,380.5614510615404,187.87081936658169,49.36674979626383,485221178.0
486,10,6,basic,565,388,68.67256637168143,634.4072164948453,122.29639175257732,381.41752121149705,220.0072329176626,57.68146995944321,653495709.0
487,5,6,smart,524,266,50.76335877862596,950.5526315789474,125.1842105263158,191.3559016222196,134.73234916055762,70.40929912187927,601135142.0
488,10,8,basic,574,398,69.33797909407666,623.1507537688442,112.7286432160804,380.8276550590148,209.97181395591437,55.13565287777647,770142391.0
489,20,4,smart,535,445,83.17757009345794,368.561797752809,134.03370786516854,759.5341334482491,299.10264956011554,39.379750874684674,590926899.0
490,15,6,smart,548,420,76.64233576642336,448.7857142857143,125.74285714285715,570.6982983739338,253.32273329340828,44.388205469543166,442685285.0
491,5,4,basic,566,268,47.349823321554766,1094.9850746268658,119.98134328358209,189.58992168649985,139.30762111933942,73.47838950516278,805309175.0
492,15,8,smart,558,430,77.06093189964157,463.2,123.96279069767442,570.2569858209262,253.5202102258318,44.45718623873956,8501172.0
493,15,8,smart,547,416,76.05118829981718,468.15384615384613,124.61057692307692,569.8110705675023,252.28066426090885,44.274440650942495,948896778.0
494,10,4,basic,570,358,62.807017543859644,554.7765363128492,117.29608938547486,380.9386822133297,204.48964003019893,53.68046081381742,456738583.0
495,20,4,smart,537,417,77.6536312849162,379.8465227817746,127.1462829736211,758.2403009288643,261.3969440944666,34.474155986466094,755568905.0
