,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
67,20,4,smart,557,458,82.2262118491921,396.50218340611355,128.69650655021834,759.8611934680654,292.44732086023515,38.48693990088939
68,15,6,basic,563,419,74.42273534635879,527.928400954654,124.68496420047732,569.6631763341309,240.10720889642175,42.14897835621887
69,5,8,basic,564,284,50.35460992907801,1000.0669014084507,128.10211267605635,191.3168427960756,146.3432220864732,76.49259727877711
70,10,4,basic,571,374,65.49912434325745,545.3475935828877,120.06417112299465,381.3587254097314,212.06235021081852,55.607053433215405
71,5,4,smart,589,279,47.368421052631575,1055.4444444444443,133.90322580645162,191.3341736706875,145.92583939061495,76.26752534117269
72,15,8,smart,582,473,81.27147766323024,484.6553911205074,120.83509513742072,570.9408263670415,273.29434613350884,47.86736794993458
73,15,6,smart,558,422,75.62724014336918,627.2322274881517,137.978672985782,570.2731791892055,250.00075643298874,43.83877158459934
74,20,6,smart,525,422,80.38095238095238,293.7843601895735,125.84123222748815,758.4738955363553,262.9427416455212,34.667342303136365
75,5,6,basic,576,264,45.83333333333333,917.0378787878788,121.89393939393939,190.9283007729284,131.2081138304609,68.72114469111999
76,5,6,smart,530,278,52.45283018867924,1025.363309352518,132.76258992805757,191.34488824403837,136.6769974668684,71.42965705598186
77,10,4,basic,568,371,65.3169014084507,654.5929919137467,118.91374663072776,380.77376881925534,205.04624052762748,53.84988602640804
78,20,4,smart,556,469,84.35251798561151,307.52452025586354,129.9189765458422,759.2953923982533,296.41588744150494,39.03828344134527
79,10,4,basic,553,376,67.99276672694394,741.2340425531914,122.8936170212766,381.39493745191277,207.25294751096425,54.340770461090656
80,10,4,basic,561,369,65.77540106951871,674.8509485094851,121.29539295392954,381.3586728439259,208.8038767449147,54.75262308518924
81,15,4,smart,572,445,77.7972027972028,480.9573033707865,126.99101123595506,571.3552024514976,273.08300240861263,47.795662179481894
82,10,8,basic,597,411,68.84422110552764,591.6861313868613,117.60097323600974,381.31376502649925,226.2760758380607,59.34117689728189
83,20,6,basic,541,417,77.07948243992607,445.93764988009593,126.30935251798562,757.4133235615614,251.79647214787232,33.24426232217008
84,15,6,basic,545,407,74.6788990825688,411.987714987715,121.01474201474201,568.8306636597165,236.8971466240795,41.64633901765097
85,10,6,smart,546,369,67.58241758241759,578.1490514905149,123.36585365853658,381.28696461041443,205.05613129921664,53.780000454181746
86,15,4,basic,559,426,76.20751341681574,487.09154929577466,128.481220657277,570.575505547171,261.13268750601907,45.7665435980463
87,15,6,smart,557,439,78.81508078994614,490.76993166287014,128.95671981776766,570.132167388677,263.36647127689156,46.19393297578075
88,5,6,basic,546,268,49.08424908424908,951.8097014925373,120.09701492537313,191.3542126118787,136.01723921425253,71.08139264753714
89,10,6,basic,528,365,69.12878787878788,643.5643835616438,122.26027397260275,381.26772692626736,200.31245033052534,52.53852770215281
90,20,6,basic,502,414,82.47011952191235,386.1183574879227,127.55797101449275,757.7142128671869,258.114614272761,34.06490334872518
91,10,8,basic,594,375,63.13131313131313,576.2053333333333,115.744,381.09327602834435,205.7619867279707,53.99255239356857
92,5,8,basic,596,286,47.98657718120805,1097.055944055944,123.31818181818181,191.4995017820464,142.4786372234677,74.40157070780717
93,5,8,basic,557,273,49.012567324955114,912.0952380952381,114.05860805860806,191.2724333073602,136.7586234423357,71.49939020359251
94,5,6,smart,546,266,48.717948717948715,1076.1203007518798,130.21052631578948,191.12773710440896,135.7267756802683,71.01364654682418
95,20,4,basic,502,409,81.47410358565737,418.97799511002444,128.31784841075793,757.9708948613536,255.09561119147452,33.655066826561466
96,15,6,basic,544,416,76.47058823529412,498.0048076923077,123.46634615384616,568.6923809417814,236.47576663967945,41.58236940823164
97,10,8,smart,586,388,66.21160409556313,648.0,117.79381443298969,381.4356917897644,217.86557058410523,57.1172481426269
98,5,4,basic,571,261,45.709281961471106,999.4291187739464,125.40229885057471,191.17952940582387,139.17667255510176,72.7989408634155
99,20,6,smart,556,460,82.73381294964028,445.7130434782609,134.7391304347826,759.2722564183023,289.55093370113315,38.135323825346276
100,15,6,basic,557,406,72.89048473967684,435.3374384236453,120.79556650246306,569.1152568034265,236.90772035317636,41.627371173253344
101,20,4,basic,537,429,79.88826815642457,437.8065268065268,126.41025641025641,758.4294957406682,264.5635599713163,34.88307897531707
102,15,6,basic,526,369,70.15209125475285,413.3089430894309,122.54471544715447,568.8625119516091,218.6711266326576,38.440066279364714
103,5,4,smart,580,290,50.0,1009.4206896551724,123.5551724137931,191.77170965842834,145.82912071690484,76.04308319336907
104,5,4,smart,564,288,51.06382978723404,1081.1284722222222,128.44444444444446,191.17925461766126,142.65742383490036,74.61971965535719
105,20,8,smart,560,463,82.67857142857142,378.6868250539957,122.47516198704103,759.1460154391731,282.643859188483,37.231817521293436
106,20,4,basic,568,458,80.63380281690141,365.18995633187774,131.20305676855895,758.9718670456161,294.078881015012,38.74700681064073
107,10,8,smart,561,392,69.87522281639929,620.8112244897959,125.78316326530613,381.2322074593508,216.3916148633828,56.76110533931102
108,20,8,basic,560,469,83.75,351.8528784648188,120.73773987206823,757.9804198160489,282.19945387755683,37.23044111694107
109,5,8,basic,550,272,49.45454545454545,911.0698529411765,108.98529411764706,191.430115445813,134.78033879917348,70.40707178454633
110,5,4,smart,554,279,50.361010830324915,1079.799283154122,127.65232974910394,191.26420944352145,139.0390717211187,72.69476716299901
111,5,8,smart,565,266,47.07964601769912,1050.0413533834587,113.95864661654136,191.07766508798568,135.23434068183136,70.77454113726996
112,10,8,smart,567,399,70.37037037037037,554.9348370927319,122.86466165413533,381.6171409093074,224.95249797572237,58.94716821149893
113,5,6,basic,548,289,52.737226277372265,1009.19723183391,124.82698961937716,191.3990723562349,144.5894858351875,75.54346217837218
114,10,8,smart,537,381,70.94972067039106,711.6771653543307,127.03412073490814,381.42593627558506,217.1356609754817,56.92734560625119
115,10,8,smart,578,422,73.01038062283737,572.1587677725119,122.24881516587678,381.6727655116093,231.07366414007836,60.54235067842424
116,5,6,smart,568,289,50.88028169014085,1040.847750865052,123.03806228373702,191.1937479738911,137.40411338029705,71.86642598745466
117,10,6,smart,545,364,66.78899082568807,665.1346153846154,113.50824175824175,380.61474329838774,192.6546582686901,50.616709326379414
118,5,4,smart,553,270,48.824593128390596,1176.4851851851852,127.24444444444444,191.61535441401728,141.12705033777814,73.65122214206767
119,15,4,basic,557,427,76.66068222621185,456.26932084309135,126.1592505854801,570.0192703953725,250.41955290856234,43.93176966365859
