,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
153,15,6,smart,542,409,75.46125461254613,408.9242053789731,124.54523227383864,570.3096970267497,246.21511041306758,43.17217674829736
154,15,4,smart,558,419,75.08960573476703,479.6515513126492,134.236276849642,570.4725053811648,257.4481526350354,45.128932631559486
155,5,8,basic,563,273,48.49023090586146,861.1538461538462,116.40293040293041,191.15151502542113,137.8218296304655,72.10083038689838
156,20,8,basic,563,446,79.21847246891652,399.46860986547085,121.13677130044843,744.1492822414577,271.4171546088897,36.47348201309178
157,5,8,smart,557,280,50.269299820466784,1038.5464285714286,121.88928571428572,191.29304637412204,141.38938491670663,73.91245400535044
158,15,6,smart,542,425,78.41328413284133,426.0305882352941,123.85882352941177,570.4016589819142,250.0425481879422,43.83622386972586
159,15,4,smart,556,438,78.77697841726618,416.7739726027397,126.77853881278538,571.1089528424986,276.40285888825645,48.39757064086566
160,5,6,basic,547,259,47.3491773308958,1093.7027027027027,122.45559845559846,191.4199354187695,131.7870467401424,68.84708557226905
161,20,4,basic,556,445,80.03597122302159,306.9483146067416,127.6561797752809,758.1939981311879,275.33501647277416,36.31458665610985
162,5,4,basic,559,268,47.9427549194991,842.7835820895523,120.7723880597015,191.25049113279093,139.6867981067529,73.03866111892188
163,10,8,smart,558,387,69.35483870967742,712.0335917312661,125.91214470284238,381.6875152307938,220.843629473173,57.859799092363865
164,15,8,basic,558,419,75.08960573476703,408.9761336515513,121.38663484486874,569.6680882481986,246.39559354016723,43.25248309026135
165,15,4,smart,556,439,78.9568345323741,427.74715261959,128.28929384965832,570.8886613472469,273.38696545195813,47.88796554599438
166,5,4,smart,555,275,49.549549549549546,954.8254545454546,126.44,191.4955715384704,141.76578747425668,74.03084381289555
167,15,8,basic,557,424,76.12208258527828,503.79952830188677,121.87735849056604,569.6445496811547,240.3346936275884,42.19029107925463
168,10,4,basic,555,367,66.12612612612612,642.2479564032698,121.60762942779292,381.40594500843304,209.89789059850307,55.032674069582775
169,5,4,smart,555,268,48.28828828828829,925.9216417910447,124.83208955223881,191.49152123305254,137.6141218757392,71.8643420813695
170,10,4,basic,557,370,66.42728904847397,560.2,118.91621621621621,380.97408798199746,210.79384698114654,55.33023206321249
171,15,8,basic,563,427,75.8436944937833,438.26932084309135,122.50819672131148,569.5949409621779,253.56197447779567,44.51619146221185
172,10,4,basic,556,386,69.42446043165468,730.419689119171,124.27979274611398,381.74893699342164,224.16959896706535,58.72173495297206
173,5,6,basic,549,262,47.72313296903461,981.5076335877862,125.35496183206106,191.37951421347222,136.7936650002069,71.47769475870957
