,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
188,10,4,basic,554,354,63.898916967509024,609.3813559322034,125.81638418079096,381.10879467032356,211.62491876046818,55.52874185008859
189,10,4,smart,561,384,68.44919786096256,685.2057291666666,134.265625,381.6230042027843,227.13051736654276,59.516987934472546
190,5,8,smart,561,294,52.406417112299465,878.8367346938776,119.77551020408163,191.5335212575067,146.9074420320199,76.70064282612474
191,20,6,basic,546,424,77.65567765567766,349.75,125.91509433962264,757.9379615619316,267.8555478876096,35.34003592267926
192,15,8,basic,564,425,75.35460992907801,442.7505882352941,118.96705882352941,569.6368458202102,250.84054457876593,44.03516844448237
193,20,6,smart,542,436,80.44280442804428,305.5573394495413,123.45412844036697,758.5135810365347,267.39817464669903,35.252918514826106
194,15,8,basic,558,407,72.93906810035843,422.2628992628993,117.47665847665847,569.2139183166732,234.21878840059165,41.14776200364933
195,20,8,smart,564,467,82.80141843971631,319.79014989293364,126.51391862955032,758.8314096635328,294.0351087243999,38.748410382060435
196,15,6,basic,542,372,68.63468634686348,450.86290322580646,117.71774193548387,568.7653378816188,209.47441600148042,36.82967333798386
197,20,8,basic,562,462,82.20640569395017,302.6969696969697,124.53030303030303,758.5766030150321,280.42231354443453,36.966907815225305
198,20,4,basic,559,448,80.14311270125224,355.56919642857144,128.30357142857142,758.6626708098642,290.3736083541893,38.27440304189721
199,20,6,basic,540,425,78.70370370370371,329.88941176470587,125.76705882352941,757.5745788972417,260.8585743646231,34.433385389507144
200,5,4,basic,557,271,48.65350089766607,1021.5977859778598,130.2140221402214,191.48965801706316,140.0842935971912,73.15501789903904
201,10,6,smart,543,362,66.66666666666666,595.3867403314918,123.95027624309392,380.8249718523837,208.3939666962259,54.721717875424424
202,10,6,smart,545,364,66.78899082568807,639.760989010989,118.75,381.05106278982254,210.83162427610807,55.328968966134894
203,20,4,smart,555,461,83.06306306306305,336.5770065075922,129.14967462039044,759.1305577824646,294.35427684616343,38.775184825389836
